name,lang,new stars
electron/electron,C++,44
microsoft/terminal,C++,97
protocolbuffers/protobuf,C++,43
ocornut/imgui,C++,16
facebook/rocksdb,C++,13
google/googletest,C++,28
microsoft/LightGBM,C++,10
arendst/Tasmota,C++,9
gabime/spdlog,C++,10
pybind/pybind11,C++,5
ArduPilot/ardupilot,C++,2
google/benchmark,C++,4
IntelRealSense/librealsense,C++,6
chriskohlhoff/asio,C++,4
HowardHinnant/date,C++,5
NervanaSystems/ngraph,C++,1
ucbrise/clipper,C++,2
ton-blockchain/ton,C++,2
valhalla/valhalla,C++,3
ros-planning/navigation,C++,1
onnx/onnx-tensorrt,C++,4
trilinos/Trilinos,C++,2
AnkerLeng/Cpp-0-1-Resource,C++,12
tevador/RandomX,C++,2
ros-planning/navigation2,C++,0
