name,lang,new stars
stedolan/jq,C,12
nothings/stb,C,14
cloudwu/skynet,C,3
Tencent/matrix,C,11
libevent/libevent,C,5
openwrt/openwrt,C,7
citusdata/citus,C,2
edenhill/librdkafka,C,3
greenplum-db/gpdb,C,2
yugabyte/yugabyte-db,C,5
zephyrproject-rtos/zephyr,C,5
madler/zlib,C,0
zlgopen/awtk,C,19
spdk/spdk,C,3
go-gl/glfw,C,2
OpenVisualCloud/SVT-AV1,C,3
google/boringssl,C,2
Xilinx/linux-xlnx,C,0
mpaland/printf,C,2
glennrp/libpng,C,0
signalwire/freeswitch,C,2
mborgerding/kissfft,C,1
libimobiledevice/libusbmuxd,C,2
expr-fi/fastlwc,C,10
formorer/icinga-core,C,0
