name,lang,new stars
Snailclimb/JavaGuide,Java,219
iluwatar/java-design-patterns,Java,53
elastic/elasticsearch,Java,49
doocs/advanced-java,Java,107
TheAlgorithms/Java,Java,79
alibaba/arthas,Java,115
hankcs/HanLP,Java,27
alibaba/canal,Java,22
mockito/mockito,Java,17
apache/storm,Java,3
apache/pulsar,Java,16
apache/dubbo-spring-boot-project,Java,16
testcontainers/testcontainers-java,Java,6
apache/incubator-dolphinscheduler,Java,21
apache/hive,Java,7
facebook/react-native-fbsdk,Java,1
Anuken/Mindustry,Java,34
react-native-community/react-native-webview,Java,7
phonegap/phonegap-plugin-push,Java,1
apache/calcite,Java,6
prestosql/presto,Java,2
flori/json,Java,0
NukkitX/Nukkit,Java,1
react-native-mapbox-gl/maps,Java,1
macrozheng/springcloud-learning,Java,32
