name,lang,new stars
getsentry/sentry,Python,44
celery/celery,Python,8
bokeh/bokeh,Python,25
sherlock-project/sherlock,Python,90
allenai/allennlp,Python,12
kivy/python-for-android,Python,15
facebookresearch/ParlAI,Python,6
matrix-org/synapse,Python,8
apache/incubator-tvm,Python,9
edx/edx-platform,Python,3
dpkp/kafka-python,Python,2
Kozea/WeasyPrint,Python,10
maurosoria/dirsearch,Python,21
lukemelas/EfficientNet-PyTorch,Python,17
tamarott/SinGAN,Python,15
quantumblacklabs/kedro,Python,2
cornellius-gp/gpytorch,Python,1
confluentinc/confluent-kafka-python,Python,3
harismuneer/Ultimate-Facebook-Scraper,Python,54
aws/sagemaker-python-sdk,Python,1
anchore/anchore-engine,Python,2
aivivn/Machine-Learning-Yearning-Vietnamese-Translation,Python,5
vmware/vsphere-automation-sdk-python,Python,2
s0md3v/Corsy,Python,36
koursaros-ai/nboost,Python,21
