name,lang,new stars
CocoaPods/CocoaPods,Ruby,6
mperham/sidekiq,Ruby,1
thoughtbot/paperclip,Ruby,1
ruby-grape/grape,Ruby,0
fluent/fluentd,Ruby,7
faker-ruby/faker,Ruby,4
github/linguist,Ruby,5
thoughtbot/factory_bot,Ruby,2
paper-trail-gem/paper_trail,Ruby,6
ankane/searchkick,Ruby,1
rails-api/active_model_serializers,Ruby,1
github/markup,Ruby,1
vcr/vcr,Ruby,1
activemerchant/active_merchant,Ruby,2
haml/haml,Ruby,1
thoughtbot/shoulda-matchers,Ruby,3
rubysherpas/paranoia,Ruby,1
randym/axlsx,Ruby,0
googleapis/google-api-ruby-client,Ruby,1
globalize/globalize,Ruby,1
zendesk/ruby-kafka,Ruby,0
rails/sass-rails,Ruby,0
onelogin/ruby-saml,Ruby,0
puppetlabs/puppetlabs-stdlib,Ruby,0
github/actionview-component,Ruby,1
