name,lang,new stars
protocolbuffers/protobuf,C++,43
JuliaLang/julia,Julia,41
getsentry/sentry,Python,44
airbnb/lottie-ios,Swift,15
jinzhu/gorm,Go,25
golang/dep,Go,11
jumpserver/jumpserver,JavaScript,35
grpc/grpc-go,Go,11
SortableJS/Vue.Draggable,JavaScript,27
mockito/mockito,Java,17
sherlock-project/sherlock,Python,90
golang/protobuf,Go,47
lucas-clemente/quic-go,Go,13
ultralytics/yolov3,Jupyter Notebook,29
qingshuisiyuan/electron-ssr-backup,,18
chiphuyen/machine-learning-systems-design,HTML,366
hecrj/iced,Rust,298
Anuken/Mindustry,Java,34
harismuneer/Ultimate-Facebook-Scraper,Python,54
aws/sagemaker-python-sdk,Python,1
joeferraro/react-native-cookies,Objective-C,7
deep-learning-with-pytorch/dlwpt-code,Jupyter Notebook,28
s0md3v/Corsy,Python,36
Thomvaill/tads-boilerplate,Shell,29
