name,lang,new stars
dotnet-architecture/eShopOnContainers,C#,27
StackExchange/Dapper,C#,5
icsharpcode/ILSpy,C#,12
aspnet/EntityFrameworkCore,C#,5
AvaloniaUI/Avalonia,C#,16
MahApps/MahApps.Metro,C#,8
dotnet/orleans,C#,15
IdentityServer/IdentityServer4,C#,7
dotnet/csharplang,C#,10
StackExchange/StackExchange.Redis,C#,4
OrchardCMS/OrchardCore,C#,5
microsoft/MixedRealityToolkit-Unity,C#,4
JasonGT/NorthwindTraders,C#,12
domaindrivendev/Swashbuckle.AspNetCore,C#,12
kerryjiang/SuperSocket,C#,3
confluentinc/confluent-kafka-dotnet,C#,2
aspnet/Extensions,C#,1
dotnet/infer,C#,3
paolosalvatori/ServiceBusExplorer,C#,4
ivanpaulovich/clean-architecture-manga,C#,6
dotnet/sourcelink,C#,10
dotnet/sdk,C#,4
dotnet/runtime,C#,64
Azure/azure-cosmos-dotnet-v3,C#,0
bbougot/FluentDispatch,C#,14
