name,lang,new stars
h5bp/Front-end-Developer-Interview-Questions,HTML,22
ripienaar/free-for-dev,HTML,91
PKUanonym/REKCARC-TSC-UHT,HTML,19
google/WebFundamentals,HTML,6
twitter/twemoji,HTML,6
octocat/Spoon-Knife,HTML,1
leemunroe/responsive-html-email-template,HTML,9
javascript-tutorial/en.javascript.info,HTML,7
Igglybuff/awesome-piracy,HTML,19
DeviaVir/zenbot,HTML,1
phil-opp/blog_os,HTML,15
TypeStrong/typedoc,HTML,5
expressjs/expressjs.com,HTML,2
a11yproject/a11yproject.com,HTML,3
chiphuyen/machine-learning-systems-design,HTML,196
ganlanyuan/tiny-slider,HTML,6
wilddeer/stickyfill,HTML,0
resumejob/awesome-resume,HTML,65
nax3t/webdevbootcamp,HTML,1
HTTPArchive/almanac.httparchive.org,HTML,4
akashyap2013/PortFolio_Website,HTML,2
Yuezi32/flipClock,HTML,14
zzsza/kyle-school,HTML,6
lateautumn4lin/Review_Reverse,Python,0
DataScienceNigeria/AIBootcamp-2019,HTML,1
