id,name,lang,new stars
85077558,kamranahmedse/developer-roadmap,,125
121395510,CyC2018/CS-Notes,Java,214
83222441,donnemartin/system-design-primer,Python,181
46629305,NARKOZ/hacker-scripts,JavaScript,140
52631841,gothinkster/realworld,JavaScript,161
74791366,ryanmcdermott/clean-code-javascript,JavaScript,574
96246170,ApolloAuto/apollo,C++,15
67487554,nndl/nndl.github.io,HTML,28
1217614,xbmc/xbmc,C++,33
105379569,actix/actix-web,Rust,67
2200856,MarlinFirmware/Marlin,C++,6
21763822,hlissner/doom-emacs,Emacs Lisp,20
212639071,bregman-arie/devops-exercises,Python,215
180827233,justinamiller/SoftwareArchitect,,1188
156317154,theonedev/onedev,Java,464
213020264,google/trax,Jupyter Notebook,193
232457507,phodal/migration,Java,244
199730019,tensortrade-org/tensortrade,Python,28
86897963,xiongziliang/ZLMediaKit,C++,44
61485617,sdlpal/sdlpal,Objective-C,108
213480514,microsoft/ApplicationInspector,C#,205
170660136,wangzhiwubigdata/God-Of-BigData,,35
230380675,collabnix/kubelabs,HTML,251
234499624,janroesner/sixty5o2,Assembly,24
228862561,rachpt/lanzou-gui,Python,30
