id,name,lang,new stars
132464395,Snailclimb/JavaGuide,Java,86
6296790,spring-projects/spring-boot,Java,41
11267509,bumptech/glide,Java,10
146633589,alibaba/arthas,Java,24
9754983,eugenp/tutorials,Java,10
53127403,ctripcorp/apollo,Java,6
7613257,SeleniumHQ/selenium,Java,12
31533997,facebook/fresco,Java,2
154648112,hollischuang/toBeTopJavaer,Java,107
20587599,apache/flink,Java,6
49662222,oracle/graal,Java,14
128018428,alibaba/Sentinel,Java,10
137451403,alibaba/nacos,Java,18
6358188,apache/druid,Java,9
129332826,frank-lam/fullstack-tutorial,Java,11
133134007,OpenAPITools/openapi-generator,Java,16
3148979,spring-projects/spring-security,Java,7
139914932,quarkusio/quarkus,Java,12
961036,hibernate/hibernate-orm,Java,0
81226206,intuit/karate,Java,3
67328052,web3j/web3j,Java,0
21193524,apache/calcite,Java,1
113088414,NukkitX/Nukkit,Java,3
2928948,Azure/azure-sdk-for-java,Java,1
255363970,DP-3T/dp3t-sdk-android,Java,8
