id,name,lang,new stars
27574418,ryanoasis/nerd-fonts,CSS,49
1219740,StylishThemes/GitHub-Dark,CSS,18
47304932,prakhar1989/docker-curriculum,CSS,5
41443539,microsoft/vscode-docs,CSS,5
102095278,troxler/awesome-css-frameworks,CSS,8
25017096,ronggang/transmission-web-control,CSS,10
107962707,jonasschmedtmann/advanced-css-course,CSS,10
229293658,creativetimofficial/tailwind-starter-kit,CSS,13
59331395,jekyll/minima,CSS,5
114846052,WebStackPage/WebStackPage.github.io,CSS,7
119437761,UndeadSec/SocialFish,CSS,5
212096660,hankchizljaw/modern-css-reset,CSS,6
141040549,thewhiteh4t/seeker,CSS,3
253505956,cruip/open-react-template,CSS,9
222361926,john-smilga/javascript-basic-projects,CSS,3
65601432,hansjny/Natural-Nerd,CSS,1
202768861,stripe-samples/checkout-one-time-payments,CSS,16
247463215,sefyudem/Responsive-Login-Form,CSS,3
190256273,developedbyed/laptop-ui,CSS,1
263862433,Code-Pop/Intro-to-Vue-3,CSS,4
293363148,TheUltimateC0der/Deemixrr,CSS,5
306617095,developedbyed/3d-card-effect,CSS,31
299116052,john-smilga/react-projects,CSS,7
304006633,crqblog/bwb,CSS,23
187316928,goitacademy/javascript-homework,CSS,0
