id,name,lang,new stars
199570071,2dust/v2rayN,C#,20
30474266,MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,5
161012019,jellyfin/jellyfin,C#,9
1579990,MonoGame/MonoGame,C#,5
22456440,ppy/osu,C#,8
8835057,xupefei/Locale-Emulator,C#,3
54213490,xamarin/Xamarin.Forms,C#,2
26884725,OrchardCMS/OrchardCore,C#,5
27251463,QuantConnect/Lean,C#,6
165548191,carlospolop/privilege-escalation-awesome-scripts-suite,C#,8
27703983,StockSharp/StockSharp,C#,6
36613036,neo-project/neo,C#,0
15819024,Codeusa/Borderless-Gaming,C#,1
23550423,Jays2Kings/DS4Windows,C#,0
39787202,nefarius/ScpToolkit,C#,1
77703410,Perfare/Il2CppDumper,C#,3
46233451,dockersamples/example-voting-app,C#,3
100711978,btcpayserver/btcpayserver,C#,8
334512261,engindemirog/KampFinalProject,C#,11
98542971,RainwayApp/warden,C#,8
334905503,gulceselim/re-cap-project-with-csharp,C#,17
133963604,HMBSbige/NatTypeTester,C#,8
338304086,SebLague/Chess-AI,C#,50
334288254,NotHunter101/ExtraRolesAmongUs,C#,6
336376985,xoofx/Monocypher.NET,C#,3
