id,name,lang,new stars
7569578,discourse/discourse,Ruby,12
27442967,fastlane/fastlane,Ruby,9
21600440,bayandin/awesome-awesomeness,Ruby,18
308770,heartcombo/devise,Ruby,5
73648678,forem/forem,Ruby,1
1090311,elastic/logstash,Ruby,2
4095287,rubocop/rubocop,Ruby,3
3195124,mperham/sidekiq,Ruby,4
1918677,fluent/fluentd,Ruby,3
96395,faker-ruby/faker,Ruby,1
275604,resque/resque,Ruby,2
202291859,chatwoot/chatwoot,Ruby,11
1725199,github/linguist,Ruby,2
21829,thoughtbot/factory_bot,Ruby,2
211588,paper-trail-gem/paper_trail,Ruby,5
30337170,rmosolgo/graphql-ruby,Ruby,0
32841259,dtan4/terraforming,Ruby,2
137805,redis/redis-rb,Ruby,1
115859973,ddnexus/pagy,Ruby,2
614070,rubygems/rubygems,Ruby,4
3898922,zammad/zammad,Ruby,3
5144181,jnunemaker/flipper,Ruby,6
200302808,github/view_component,Ruby,8
80462373,keyvanakbary/learning-notes,Ruby,3
212620037,jsonapi-serializer/jsonapi-serializer,Ruby,2
