id,name,lang,new stars
2579314,fzaninotto/Faker,PHP,3
458058,symfony/symfony,PHP,6
7548986,laravel/framework,PHP,10
1420053,guzzle/guzzle,PHP,5
448045,sebastianbergmann/phpunit,PHP,1
3431193,yiisoft/yii2,PHP,3
12615154,barryvdh/laravel-debugbar,PHP,8
14259390,Maatwebsite/Laravel-Excel,PHP,4
2884111,magento/magento2,PHP,1
622166,FriendsOfPHP/Goutte,PHP,5
12166778,googleapis/google-api-php-client,PHP,3
41589337,BookStackApp/BookStack,PHP,16
6763587,PrestaShop/PrestaShop,PHP,2
4242230,PHPOffice/PHPWord,PHP,2
14346979,snipe/snipe-it,PHP,5
12204147,mautic/mautic,PHP,3
576099,doctrine/migrations,PHP,2
439861,moodle/moodle,PHP,1
351298555,thedevdojo/wave,PHP,2
1509011,FriendsOfSymfony/FOSRestBundle,PHP,0
141720301,dr5hn/countries-states-cities-database,PHP,7
34407154,cweagans/composer-patches,PHP,1
281640234,5ime/video_spider,PHP,1
410524724,nunomaduro/termwind,PHP,12
184538454,yankovalenko94/Webdev2019,PHP,0
