id,name,lang,new stars
1181927,bitcoin/bitcoin,C++,55
22067521,ocornut/imgui,C++,18
67702184,topjohnwu/Magisk,C++,17
19374812,telegramdesktop/tdesktop,C++,13
116167731,yuzu-emu/yuzu,C++,16
98771110,zhongyang219/TrafficMonitor,C++,34
3351871,qbittorrent/qBittorrent,C++,5
14981376,dogecoin/dogecoin,C++,10
2200856,MarlinFirmware/Marlin,C++,3
117948953,Atmosphere-NX/Atmosphere,C++,6
76990209,Aircoookie/WLED,C++,20
1204412,TrinityCore/TrinityCore,C++,0
283410102,sogou/workflow,C++,35
2168780,minetest/minetest,C++,9
128479644,esphome/esphome,C++,1
354743391,o3de/o3de,C++,110
52882701,prusa3d/PrusaSlicer,C++,7
3884981,juce-framework/JUCE,C++,5
73756539,VCVRack/Rack,C++,7
51181211,gibsjose/cpp-cheat-sheet,C++,5
147106288,OneLoneCoder/olcPixelGameEngine,C++,3
158065193,ShahjalalShohag/code-library,C++,2
253045183,haampie/libtree,C++,188
434866054,qunaieer/arduino_projects_book_arabic,C++,7
434345250,jbaines-r7/shakeitoff,C++,10
