id,name,lang,new stars
130464961,sharkdp/bat,Rust,23
57167764,xi-editor/xi-editor,Rust,17
120425779,lapce/lapce,Rust,413
193526915,dandavison/delta,Rust,26
149026292,cube-js/cube.js,Rust,8
152572186,wasmerio/wasmer,Rust,17
162276894,Wilfred/difftastic,Rust,414
14164618,tree-sitter/tree-sitter,Rust,15
101767772,bytecodealliance/wasmtime,Rust,19
155783257,linebender/druid,Rust,29
201517171,hyperium/tonic,Rust,7
449091292,prql/prql,Rust,14
162357299,indygreg/PyOxidizer,Rust,22
161045574,johnthagen/min-sized-rust,Rust,41
160763382,GetFirefly/firefly,Rust,5
89145566,console-rs/indicatif,Rust,16
358917318,apache/arrow-datafusion,Rust,7
267940560,solana-labs/solana-program-library,Rust,2
159866229,build-trust/ockam,Rust,13
442194005,MaikKlein/unreal-rust,Rust,169
450114994,valence-rs/valence,Rust,130
420965027,cnosdb/cnosdb,Rust,4
438971689,zeeka-network/bazuka,Rust,42
321202605,purefinance/mmb,Rust,23
448763263,sloganking/rs-code-visualizer,Rust,9
