id,name,lang,new stars
28457823,freeCodeCamp/freeCodeCamp,TypeScript,57
24195339,angular/angular,TypeScript,20
154950925,streamich/react-use,TypeScript,24
79162682,laurent22/joplin,TypeScript,29
281975310,type-challenges/type-challenges,TypeScript,29
45055693,balena-io/etcher,TypeScript,20
130884470,solidjs/solid,TypeScript,17
131770422,neoclide/coc.nvim,TypeScript,13
51769689,refined-github/refined-github,TypeScript,134
58559694,desktop/desktop,TypeScript,1
234739976,medusajs/medusa,TypeScript,24
57602001,wechaty/wechaty,TypeScript,94
368917877,BuilderIO/qwik,TypeScript,24
471728341,lensterxyz/lenster,TypeScript,202
107422373,elastic/eui,TypeScript,67
430183021,teaxyz/cli,TypeScript,359
574965758,fuergaosi233/wechat-chatgpt,TypeScript,741
573631261,transitive-bullshit/chatgpt-api,TypeScript,316
421008345,vercel/examples,TypeScript,7
574600955,AutumnWhj/ChatGPT-wechat-bot,TypeScript,170
518004533,LokerL/tts-vue,TypeScript,40
574612724,shinework/photoshot,TypeScript,342
485379314,stonith404/pingvin-share,TypeScript,11
576107574,wsdo/gptapi,TypeScript,4
574507391,koishijs/chatgpt-bot,TypeScript,0
