id,name,lang,new stars
10270250,facebook/react,JavaScript,67
29028775,facebook/react-native,JavaScript,25
70107786,vercel/next.js,JavaScript,71
23088740,axios/axios,JavaScript,21
26066727,mermaid-js/mermaid,JavaScript,42
1663468,mozilla/pdf.js,JavaScript,23
128565937,iamadamdev/bypass-paywalls-chrome,JavaScript,36
31085130,airbnb/lottie-web,JavaScript,8
18049133,kenwheeler/slick,JavaScript,0
171072967,pedroslopez/whatsapp-web.js,JavaScript,13
94173064,mickael-kerjean/filestash,JavaScript,5
48128083,cezaraugusto/You-Dont-Know-JS,JavaScript,70
32238354,import-js/eslint-plugin-import,JavaScript,3
528313152,benphelps/homepage,JavaScript,42
438514144,wangrongding/wechat-bot,JavaScript,150
534649275,Sunny-117/js-challenges,JavaScript,60
586141825,waylaidwanderer/node-chatgpt-api,JavaScript,94
475141120,matschik/component-party,JavaScript,3
390760759,salman0ansari/whatsapp-api-nodejs,JavaScript,2
354955148,EmulatorJS/EmulatorJS,JavaScript,3
463188323,therealgliz/blooket-hacks,JavaScript,6
575042276,gencay/vscode-chatgpt,JavaScript,25
576869790,bigemon/ChatGPT-ToolBox,JavaScript,17
574332011,oceanlvr/ChatGPT-ProBot,JavaScript,7
597377378,EmpireAssatoken/Pancakeswap-Predcition-Bot-new-2023,JavaScript,14
