name,lang,new stars
google/styleguide,HTML,370
desandro/masonry,HTML,84
portainer/portainer,HTML,290
PKUanonym/REKCARC-TSC-UHT,HTML,373
twitter/twemoji,HTML,125
nndl/nndl.github.io,HTML,426
digitalocean/nginxconfig.io,HTML,660
coreui/coreui-free-bootstrap-admin-template,HTML,131
Igglybuff/awesome-piracy,HTML,305
jgraph/mxgraph,HTML,231
froala/wysiwyg-editor,HTML,79
jdorn/sql-formatter,HTML,130
firebase/quickstart-js,HTML,65
squidfunk/mkdocs-material,HTML,94
go101/go101,HTML,115
mdn/learning-area,HTML,106
Tikam02/DevOps-Guide,HTML,1977
resumejob/awesome-resume,HTML,301
kubernetes/website,HTML,78
clong/DetectionLab,HTML,136
coreui/coreui-free-angular-admin-template,HTML,20
thelinuxchoice/shellphish,HTML,59
istio/istio.io,HTML,24
xiaolai/blockchainlittlebook.com,HTML,351
javascript-tutorial/ko.javascript.info,HTML,72
