name,lang,new stars
facebook/react,JavaScript,1994
twbs/bootstrap,JavaScript,1046
nodejs/node,JavaScript,935
mrdoob/three.js,JavaScript,983
30-seconds/30-seconds-of-code,JavaScript,1863
mui-org/material-ui,JavaScript,954
apache/incubator-echarts,JavaScript,787
sveltejs/svelte,JavaScript,1619
algorithm-visualizer/algorithm-visualizer,JavaScript,1667
mermaid-js/mermaid,JavaScript,1176
GoogleChrome/lighthouse,JavaScript,361
fabricjs/fabric.js,JavaScript,617
jgraph/drawio,JavaScript,3317
marktext/marktext,JavaScript,1684
Binaryify/NeteaseCloudMusicApi,JavaScript,674
Valve/fingerprintjs2,JavaScript,362
uber/deck.gl,JavaScript,196
modood/Administrative-divisions-of-China,JavaScript,762
cube-js/cube.js,JavaScript,712
CodingTrain/website,JavaScript,178
muhammederdem/vue-interactive-paycard,JavaScript,1529
vuejs/eslint-plugin-vue,JavaScript,67
jonasschmedtmann/complete-javascript-course,JavaScript,246
yyhsong/iDataV,JavaScript,188
keystonejs/keystone,JavaScript,240
