name,lang,new stars
fzaninotto/Faker,PHP,354
symfony/symfony,PHP,380
danielmiessler/SecLists,PHP,807
yiisoft/yii2,PHP,86
WordPress/WordPress,PHP,192
nextcloud/server,PHP,284
doctrine/orm,PHP,168
twigphp/Twig,PHP,131
typecho/typecho,PHP,137
doctrine/dbal,PHP,244
nrk/predis,PHP,111
PrestaShop/PrestaShop,PHP,181
snipe/snipe-it,PHP,96
doctrine/DoctrineBundle,PHP,136
symfony/flex,PHP,107
mpdf/mpdf,PHP,82
symfony/monolog-bundle,PHP,76
xdebug/xdebug,PHP,52
hyperf/hyperf,PHP,267
wikimedia/mediawiki,PHP,60
librenms/librenms,PHP,40
maicong/music,PHP,68
pmmp/PocketMine-MP,PHP,52
Dolibarr/dolibarr,PHP,56
onlychain/OCSystem,PHP,529
