name,lang,new stars
scikit-learn/scikit-learn,Python,647
home-assistant/home-assistant,Python,1126
getsentry/sentry,Python,632
localstack/localstack,Python,1954
521xueweihan/HelloGitHub,Python,1852
huggingface/transformers,Python,2050
fighting41love/funNLP,Python,1115
yunjey/pytorch-tutorial,Python,692
CorentinJ/Real-Time-Voice-Cloning,Python,4151
wangzheng0822/algo,Python,996
zhaoolee/ChromeAppHeroes,Python,913
pytorch/examples,Python,492
swisskyrepo/PayloadsAllTheThings,Python,768
openai/gpt-2,Python,1664
sherlock-project/sherlock,Python,852
ddbourgin/numpy-ml,Python,465
facebookresearch/detectron2,Python,1312
eriklindernoren/PyTorch-GAN,Python,359
shenweichen/DeepCTR,Python,317
YunYang1994/tensorflow-yolov3,Python,211
tamarott/SinGAN,Python,1442
milesial/Pytorch-UNet,Python,152
dagster-io/dagster,Python,140
harismuneer/Ultimate-Facebook-Scraper,Python,610
sundowndev/PhoneInfoga,Python,146
