name,lang,new stars
rails/rails,Ruby,270
fastlane/fastlane,Ruby,311
huginn/huginn,Ruby,286
plataformatec/devise,Ruby,92
tootsuite/mastodon,Ruby,494
Homebrew/homebrew-cask,Ruby,151
elastic/logstash,Ruby,142
faker-ruby/faker,Ruby,74
github/linguist,Ruby,100
Homebrew/homebrew-core,Ruby,149
chef/chef,Ruby,58
greatghoul/remote-working,Ruby,447
ankane/chartkick,Ruby,50
github/scientist,Ruby,205
rmosolgo/graphql-ruby,Ruby,60
jruby/jruby,Ruby,21
chatwoot/chatwoot,Ruby,1921
billie66/TLCL,Ruby,135
zammad/zammad,Ruby,66
github/choosealicense.com,Ruby,43
projectcalico/calico,Ruby,77
dev-sec/ansible-os-hardening,Ruby,53
dependabot/dependabot-core,Ruby,71
Hackplayers/evil-winrm,Ruby,105
microsoft/OMS-Agent-for-Linux,Ruby,3
