name,lang,new stars
microsoft/vscode,TypeScript,2637
nodejs/node,JavaScript,922
Snailclimb/JavaGuide,Java,4395
angular/angular,TypeScript,1500
30-seconds/30-seconds-of-code,JavaScript,1855
opencv/opencv,C++,978
algorithm-visualizer/algorithm-visualizer,JavaScript,1712
cdr/code-server,TypeScript,1551
ethereum/go-ethereum,Go,426
pingcap/tidb,Go,585
TheAlgorithms/Java,Java,1804
alibaba/p3c,Java,646
hankcs/HanLP,Java,1329
CorentinJ/Real-Time-Voice-Cloning,Python,4151
wangzheng0822/algo,Python,1011
swisskyrepo/PayloadsAllTheThings,Python,763
openai/gpt-2,Python,1658
fengdu78/lihang-code,Jupyter Notebook,1262
topjohnwu/Magisk,C++,525
zhangdaiscott/jeecg-boot,Java,1048
google-research/google-research,Jupyter Notebook,1462
zeit/swr,TypeScript,5037
zhisheng17/flink-learning,Java,781
llvm/llvm-project,C++,489
gzc426/Java-Interview,,1078
