id,name,lang,new stars
28457823,freeCodeCamp/freeCodeCamp,JavaScript,1250
11730342,vuejs/vue,JavaScript,2326
10270250,facebook/react,JavaScript,1951
2126244,twbs/bootstrap,JavaScript,1323
23083156,mui-org/material-ui,JavaScript,1120
36633370,awesome-selfhosted/awesome-selfhosted,JavaScript,1538
3955647,lodash/lodash,JavaScript,480
46629305,NARKOZ/hacker-scripts,JavaScript,1175
15428480,ColorlibHQ/AdminLTE,JavaScript,558
71995937,nuxt/nuxt.js,JavaScript,671
128624453,NervJS/taro,JavaScript,739
157616880,iptv-org/iptv,JavaScript,2227
19745004,odoo/odoo,JavaScript,396
13926404,getredash/redash,JavaScript,409
80276391,GitSquared/edex-ui,JavaScript,1333
172741073,pikapkg/snowpack,JavaScript,1256
236750354,bradtraversy/vanillawebprojects,JavaScript,2138
110178895,brave/brave-browser,JavaScript,340
128565937,iamadamdev/bypass-paywalls-chrome,JavaScript,1157
201570219,manojVivek/responsively-app,JavaScript,2678
51732606,jhu-ep-coursera/fullstack-course4,JavaScript,420
115446081,Zettlr/Zettlr,JavaScript,1023
198484358,NobyDa/Script,JavaScript,196
230281568,chavyleung/scripts,JavaScript,192
183677633,bradtraversy/devconnector_2.0,JavaScript,122
