id,name,lang,new stars
21540759,avelino/awesome-go,Go,1029
48378947,fatedier/frp,Go,968
14712850,syncthing/syncthing,Go,510
15452919,ethereum/go-ethereum,Go,374
50709152,kataras/iris,Go,319
97533102,halfrost/LeetCode-Go,Go,2779
120227732,fyne-io/fyne,Go,484
119160553,photoprism/photoprism,Go,2395
158645957,OpenDiablo2/OpenDiablo2,Go,359
116576783,bettercap/bettercap,Go,191
26836182,therecipe/qt,Go,169
153099672,inancgumus/learngo,Go,1790
29099181,keybase/client,Go,107
116739828,DNSCrypt/dnscrypt-proxy,Go,158
222172014,slackhq/nebula,Go,267
134012064,pion/webrtc,Go,335
201658460,geektutu/7days-golang,Go,542
285864199,tal-tech/go-zero,Go,1199
95761244,gogf/gf,Go,280
154643390,sundowndev/PhoneInfoga,Go,367
252813491,projectdiscovery/nuclei,Go,589
311315731,XTLS/Xray-core,Go,692
79585104,matrix-org/dendrite,Go,184
281694167,Mrs4s/go-cqhttp,Go,186
279592699,rancher/harvester,Go,456
