id,name,lang,new stars
2561582,animate-css/animate.css,CSS,398
1700621,necolas/normalize.css,CSS,452
27574418,ryanoasis/nerd-fonts,CSS,577
62615465,you-dont-need/You-Dont-Need-JavaScript,CSS,1260
17446152,gabrielecirulli/2048,CSS,45
68619759,creativetimofficial/material-dashboard,CSS,68
49767244,primefaces/primeng,CSS,57
65019435,juliocesarfort/public-pentesting-reports,CSS,102
129094260,wsvincent/awesome-django,CSS,148
41443539,microsoft/vscode-docs,CSS,66
313330998,bradtraversy/50projects50days,CSS,241
162405963,gradio-app/gradio,CSS,278
264441033,missing-semester-cn/missing-semester-cn.github.io,CSS,128
119437761,UndeadSec/SocialFish,CSS,64
204008310,morpheusthewhite/spicetify-themes,CSS,174
225267585,missing-semester/missing-semester,CSS,115
234033679,hehonghui/the-economist-ebooks,CSS,283
141040549,thewhiteh4t/seeker,CSS,75
160313905,primefaces/primevue,CSS,87
222361926,john-smilga/javascript-basic-projects,CSS,91
299116052,john-smilga/react-projects,CSS,115
183526229,SAP/styleguides,CSS,45
238921235,vinceliuice/Orchis-theme,CSS,92
279903174,bedimcode/portfolio-responsive-complete,CSS,15
263862433,Code-Pop/Intro-to-Vue-3,CSS,32
