id,name,lang,new stars
1863329,laravel/laravel,PHP,433
458058,symfony/symfony,PHP,162
1864363,composer/composer,PHP,136
7548986,laravel/framework,PHP,223
1376664,Seldaek/monolog,PHP,106
2253830,PHPMailer/PHPMailer,PHP,143
2889328,WordPress/WordPress,PHP,112
60243197,nextcloud/server,PHP,242
13899674,thephpleague/flysystem,PHP,68
28628034,flarum/flarum,PHP,121
61490598,PHPOffice/PhpSpreadsheet,PHP,127
14259390,Maatwebsite/Laravel-Excel,PHP,116
2884111,magento/magento2,PHP,64
79111500,jupeter/clean-code-php,PHP,128
2699935,squizlabs/PHP_CodeSniffer,PHP,83
12166778,googleapis/google-api-php-client,PHP,42
2179920,woocommerce/woocommerce,PHP,85
6269013,aws/aws-sdk-php,PHP,44
95011974,akaunting/akaunting,PHP,100
8077402,MISP/MISP,PHP,42
22751672,tecnickcom/TCPDF,PHP,45
139191005,nunomaduro/larastan,PHP,244
182349597,jqhph/dcat-admin,PHP,71
17253775,zabbix/zabbix,PHP,76
141720301,dr5hn/countries-states-cities-database,PHP,167
