id,name,lang,new stars
10744183,netdata/netdata,C,673
246335987,ventoy/Ventoy,C,1073
11715753,robertdavidgraham/masscan,C,214
20159867,nothings/stb,C,261
196353673,taosdata/TDengine,C,239
7634677,openssl/openssl,C,324
2810292,pbatard/rufus,C,429
63477515,TheAlgorithms/C,C,404
47409672,hashcat/hashcat,C,207
45821540,openwrt/openwrt,C,302
927442,postgres/postgres,C,195
14902556,offensive-security/exploitdb,C,125
4151993,OpenVPN/openvpn,C,119
414577657,peng-zhihui/Dummy-Robot,C,866
273689548,peng-zhihui/L-ink_Card,C,123
91493088,ValdikSS/GoodbyeDPI,C,601
59771425,zephyrproject-rtos/zephyr,C,134
108110706,tporadowski/redis,C,177
305248398,peng-zhihui/HDMI-PI,C,163
394318710,valinet/ExplorerPatcher,C,709
214011414,kingToolbox/WindTerm,C,481
198869255,google/AFL,C,68
330980599,yanfeizhang/coder-kung-fu,C,415
238539562,checkra1n/PongoOS,C,217
329707886,AsahiLinux/m1n1,C,245
