id,name,lang,new stars
32484381,ripienaar/free-for-dev,HTML,833
35969061,google/styleguide,HTML,313
62156403,QSCTech/zju-icicles,HTML,474
119811010,tabler/tabler,HTML,317
152327866,Igglybuff/awesome-piracy,HTML,496
93253246,javascript-tutorial/en.javascript.info,HTML,309
240215314,docker/awesome-compose,HTML,677
26291683,twitter/twemoji,HTML,212
194216404,cobiwave/simplefolio,HTML,269
425159471,sunym1993/flash-linux0.11-talk,HTML,1243
223824546,chiphuyen/machine-learning-systems-design,HTML,89
197663980,RayTracing/raytracing.github.io,HTML,175
31560300,daattali/beautiful-jekyll,HTML,78
281297416,adityatelange/hugo-PaperMod,HTML,234
452327893,ClemensElflein/OpenMower,HTML,1966
165360641,cotes2020/jekyll-theme-chirpy,HTML,131
440078417,FrancescoXX/free-Web3-resources,HTML,1038
291293670,durgeshsamariya/awesome-github-profile-readme-templates,HTML,226
390399065,themesberg/flowbite,HTML,269
322213362,ultrasecurity/Storm-Breaker,HTML,120
375081980,cipher387/osint_stuff_tool_collection,HTML,206
379940422,jonasschmedtmann/html-css-course,HTML,97
14218827,GoogleChrome/developer.chrome.com,HTML,67
476336211,bedimcode/responsive-mini-portfolio,HTML,121
