id,name,lang,new stars
52281283,mastodon/mastodon,Ruby,1757
39840932,google/googletest,C++,799
212639071,bregman-arie/devops-exercises,Python,2046
262296122,PaddlePaddle/PaddleOCR,Python,2033
275993885,appsmithorg/appsmith,TypeScript,3054
299354207,rustdesk/rustdesk,Rust,1520
479924503,The-Run-Philosophy-Organization/run,,7409
47409672,hashcat/hashcat,C,2080
120710644,Vonng/ddia,Python,1420
313330998,bradtraversy/50projects50days,CSS,1092
136667574,flutter/samples,Dart,685
355959597,Textualize/textual,Python,1996
234033679,hehonghui/the-economist-ebooks,CSS,3676
348822769,nuxt/framework,TypeScript,1678
301830590,benbjohnson/litestream,Go,1398
341714203,openai/DALL-E,Python,718
478823173,lucidrains/DALLE2-pytorch,Python,3307
336274588,PaddlePaddle/PaddleNLP,Python,904
419661684,DataTalksClub/data-engineering-zoomcamp,Jupyter Notebook,737
462597790,aptos-labs/aptos-core,Rust,1490
462682958,SebLague/Geographical-Adventures,C#,1582
463337778,alembics/disco-diffusion,Jupyter Notebook,1215
284134871,flipperdevices/flipperzero-firmware,C,257
365367120,sunflower-land/sunflower-land,TypeScript,322
