id,name,lang,new stars
199570071,2dust/v2rayN,C#,965
164140756,files-community/Files,C#,662
70104825,dotnet-architecture/eShopOnContainers,C#,268
262395224,dotnet/maui,C#,684
198071756,huiyadanli/RevokeMsgPatcher,C#,657
16157746,dotnet/efcore,C#,118
45363955,lionsoul2014/ip2region,C#,188
210716005,dotnet/runtime,C#,342
126486701,Unity-Technologies/UnityCsReference,C#,135
213460285,jasontaylordev/CleanArchitecture,C#,305
321682465,BeyondDimension/SteamTools,C#,744
375939072,dotnetcore/FastGithub,C#,992
113807330,migueldeicaza/gui.cs,C#,392
324473895,leiurayer/downkyi,C#,1258
27251463,QuantConnect/Lean,C#,128
50605426,microsoft/MixedRealityToolkit-Unity,C#,95
187499284,Cysharp/UniTask,C#,158
158405551,GitCredentialManager/git-credential-manager,C#,220
39425864,tModLoader/tModLoader,C#,110
142192459,GhostPack/Seatbelt,C#,98
398181340,fullstackhero/dotnet-webapi-boilerplate,C#,201
426700184,microsoft/dotnet-podcasts,C#,218
255952484,dotnet/maui-samples,C#,144
464654186,dotnet-presentations/dotnet-maui-workshop,C#,411
417181752,OneXDeveloper/MapAssist,C#,54
