id,name,lang,new stars
8514,rails/rails,Ruby,241
65252,jekyll/jekyll,Ruby,219
52281283,mastodon/mastodon,Ruby,5487
8681349,huginn/huginn,Ruby,254
7569578,discourse/discourse,Ruby,221
53238813,Homebrew/brew,Ruby,379
13840241,freeCodeCamp/devdocs,Ruby,313
308770,heartcombo/devise,Ruby,76
3195124,mperham/sidekiq,Ruby,82
52855516,Homebrew/homebrew-core,Ruby,136
1918677,fluent/fluentd,Ruby,75
1725199,github/linguist,Ruby,107
16549503,github/scientist,Ruby,58
6768710,redmine/redmine,Ruby,38
614070,rubygems/rubygems,Ruby,29
93163073,dependabot/dependabot-core,Ruby,60
270054,ffi/ffi,Ruby,9
55288882,d12frosted/homebrew-emacs-plus,Ruby,45
3698608,sidekiq-scheduler/sidekiq-scheduler,Ruby,13
229187949,shivammathur/homebrew-php,Ruby,55
99692620,renatolond/mastodon-twitter-poster,Ruby,139
375363780,learn-co-curriculum/project-template-react-rails-api,Ruby,5
365723058,learn-co-curriculum/phase-4-creating-a-rails-api,Ruby,3
481257784,brewchetta/phase-3-practice-code-challenge-animal-shelter,Ruby,0
481232829,brewchetta/phase-3-practice-code-challenge-aliens-among-us,Ruby,0
