id,name,lang,new stars
133442384,denoland/deno,Rust,705
299354207,rustdesk/rustdesk,Rust,2089
241805592,rome/tools,Rust,2116
234798675,bevyengine/bevy,Rust,1259
121898717,dani-garcia/vaultwarden,Rust,721
67836789,tokio-rs/tokio,Rust,387
152572186,wasmerio/wasmer,Rust,635
135201145,RustPython/RustPython,Rust,417
17420913,rust-lang/cargo,Rust,187
278933035,RustScan/RustScan,Rust,1073
372172254,tokio-rs/axum,Rust,665
136510559,Byron/gitoxide,Rust,535
404320053,foundry-rs/foundry,Rust,229
523043277,charliermarsh/ruff,Rust,960
337322967,SeaQL/sea-orm,Rust,230
551376520,tw93/Pake,Rust,1218
519882617,gbj/leptos,Rust,2227
290243101,Orange-OpenSource/hurl,Rust,1101
426075845,MystenLabs/sui,Rust,463
299354666,rustdesk/rustdesk-server,Rust,331
240971104,AleoHQ/snarkOS,Rust,476
500391407,buckyos/CYFS,Rust,462
440810736,EAimTY/tuic,Rust,244
523436104,a16z/helios,Rust,1114
531874744,aurae-runtime/aurae,Rust,442
