name,lang,new stars
tensorflow/tensorflow,C++,644
microsoft/terminal,C++,387
pytorch/pytorch,C++,265
tesseract-ocr/tesseract,C++,167
ocornut/imgui,C++,118
facebook/rocksdb,C++,66
google/googletest,C++,119
vnpy/vnpy,C++,74
ClickHouse/ClickHouse,C++,69
facebookresearch/faiss,C++,86
pybind/pybind11,C++,45
abseil/abseil-cpp,C++,62
dolphin-emu/dolphin,C++,77
bulletphysics/bullet3,C++,34
CoatiSoftware/Sourcetrail,C++,1579
google/mediapipe,C++,74
JoeyDeVries/LearnOpenGL,C++,135
PX4/Firmware,C++,29
trojan-gfw/trojan,C++,161
xmrig/xmrig,C++,37
interpretml/interpret,C++,49
HowardHinnant/date,C++,17
NVIDIAGameWorks/kaolin,C++,222
rapidsai/cuml,C++,148
Aircoookie/WLED,C++,54
