name,lang,new stars
CyC2018/CS-Notes,Java,835
Snailclimb/JavaGuide,Java,1365
iluwatar/java-design-patterns,Java,309
ReactiveX/RxJava,Java,92
square/retrofit,Java,86
zxing/zxing,Java,63
apache/skywalking,Java,159
oracle/graal,Java,152
wuyouzhuguli/SpringAll,Java,267
linlinjava/litemall,Java,120
halo-dev/halo,Java,353
apache/rocketmq,Java,96
zhangdaiscott/jeecg-boot,Java,460
thingsboard/thingsboard,Java,115
zhisheng17/flink-learning,Java,410
macrozheng/mall-learning,Java,92
confluentinc/ksql,Java,259
runelite/runelite,Java,30
flowable/flowable-engine,Java,39
Anuken/Mindustry,Java,267
Tencent/TubeMQ,Java,90
KunMinX/Jetpack-MVVM-Best-Practice,Java,435
apache/servicecomb-pack,Java,45
openhab/openhab2-addons,Java,7
uniVocity/univocity-trader,Java,113
