name,lang,new stars
freeCodeCamp/freeCodeCamp,JavaScript,812
vuejs/vue,JavaScript,524
axios/axios,JavaScript,308
jquery/jquery,JavaScript,115
ryanmcdermott/clean-code-javascript,JavaScript,423
sveltejs/svelte,JavaScript,523
algorithm-visualizer/algorithm-visualizer,JavaScript,1276
styled-components/styled-components,JavaScript,144
azl397985856/leetcode,JavaScript,448
NervJS/taro,JavaScript,192
strapi/strapi,JavaScript,281
SortableJS/Sortable,JavaScript,222
gorhill/uBlock,JavaScript,116
GoogleChrome/lighthouse,JavaScript,96
jhipster/generator-jhipster,JavaScript,68
agalwood/Motrix,JavaScript,259
ampproject/amphtml,JavaScript,37
tannerlinsley/react-table,JavaScript,768
withspectrum/spectrum,JavaScript,111
umijs/umi,JavaScript,98
cube-js/cube.js,JavaScript,395
discordjs/discord.js,JavaScript,78
jonasschmedtmann/complete-javascript-course,JavaScript,128
paulirish/lite-youtube-embed,JavaScript,482
rollup/plugins,JavaScript,32
