name,lang,new stars
fzaninotto/Faker,PHP,100
symfony/symfony,PHP,120
laravel/framework,PHP,71
guzzle/guzzle,PHP,79
Seldaek/monolog,PHP,88
sebastianbergmann/phpunit,PHP,74
PHPMailer/PHPMailer,PHP,56
FriendsOfPHP/PHP-CS-Fixer,PHP,31
symfony/console,PHP,55
doctrine/orm,PHP,53
twigphp/Twig,PHP,49
directus/directus,PHP,43
swoft-cloud/swoft,PHP,65
PrestaShop/PrestaShop,PHP,78
doctrine/DoctrineBundle,PHP,47
beyondcode/laravel-websockets,PHP,30
akaunting/akaunting,PHP,20
FriendsOfSymfony/FOSRestBundle,PHP,12
sensiolabs/SensioFrameworkExtraBundle,PHP,34
symfony/framework-bundle,PHP,36
symfony/monolog-bundle,PHP,26
bagisto/bagisto,PHP,24
Tuhinshubhra/RED_HAWK,PHP,20
sprintcube/docker-compose-lamp,PHP,64
