name,lang,new stars
donnemartin/system-design-primer,Python,552
public-apis/public-apis,Python,750
TheAlgorithms/Python,Python,1335
tensorflow/models,Python,313
huggingface/transformers,Python,456
testerSunshine/12306,Python,239
yunjey/pytorch-tutorial,Python,328
wangzheng0822/algo,Python,370
zhaoolee/ChromeAppHeroes,Python,164
pytorch/examples,Python,122
junyanz/pytorch-CycleGAN-and-pix2pix,Python,98
microsoft/cascadia-code,Python,227
sherlock-project/sherlock,Python,509
ddbourgin/numpy-ml,Python,141
zalandoresearch/flair,Python,67
dragen1860/Deep-Learning-with-TensorFlow-book,Python,807
shadowsocksr-backup/shadowsocksr,Python,46
lukemelas/EfficientNet-PyTorch,Python,107
Jrohy/multi-v2ray,Python,105
tlbootcamp/tlroadmap,Python,43
YunYang1994/tensorflow-yolov3,Python,64
Kayzaks/HackingNeuralNetworks,Python,507
harismuneer/Ultimate-Facebook-Scraper,Python,484
ticarpi/jwt_tool,Python,126
aivivn/Machine-Learning-Yearning-Vietnamese-Translation,Python,95
