id,name,lang,new stars
23096959,golang/go,Go,310
7691631,moby/moby,Go,69
48378947,fatedier/frp,Go,206
42408804,containous/traefik,Go,113
15452919,ethereum/go-ethereum,Go,65
31288958,hashicorp/vault,Go,455
6247705,stretchr/testify,Go,81
136815833,Dreamacro/clash,Go,269
71297170,Netflix/chaosmonkey,Go,112
33258973,influxdata/telegraf,Go,50
54378638,github/gh-ost,Go,52
21405028,ardanlabs/gotraining,Go,307
192632000,dapr/dapr,Go,69
169948217,crawlab-team/crawlab,Go,89
100982449,argoproj/argo,Go,69
119160553,photoprism/photoprism,Go,57
99143276,vmware-tanzu/velero,Go,36
140412864,kgretzky/evilginx2,Go,37
125275487,kubernetes-sigs/kubebuilder,Go,34
206213815,chaos-mesh/chaos-mesh,Go,57
179063508,rancher/k3d,Go,115
105125456,godcong/fate,Go,125
224588420,wxbool/video-srt-windows,Go,83
199482477,fluxcd/helm-operator,Go,18
277649384,cycloidio/inframap,Go,82
