id,name,lang,new stars
8514,rails/rails,Ruby,54
27442967,fastlane/fastlane,Ruby,42
53238813,Homebrew/brew,Ruby,98
2500088,gitlabhq/gitlabhq,Ruby,17
52281283,tootsuite/mastodon,Ruby,75
2293158,rapid7/metasploit-framework,Ruby,73
308770,heartcombo/devise,Ruby,26
481872,hashicorp/vagrant,Ruby,66
1090311,elastic/logstash,Ruby,27
3195124,mperham/sidekiq,Ruby,15
18486300,lewagon/setup,Ruby,222
52855516,Homebrew/homebrew-core,Ruby,35
21829,thoughtbot/factory_bot,Ruby,8
33739333,thoughtbot/administrate,Ruby,10
18294,activemerchant/active_merchant,Ruby,2
6899875,opf/openproject,Ruby,87
69193081,freeCodeCamp/how-to-contribute-to-open-source,Ruby,61
6768710,redmine/redmine,Ruby,9
30985840,solidusio/solidus,Ruby,7
103766152,github/explore,Ruby,12
9831101,elastic/elasticsearch-ruby,Ruby,3
65914086,decidim/decidim,Ruby,9
10504669,publiclab/plots2,Ruby,14
300489205,ankane/informers,Ruby,89
48370306,elastic/ansible-beats,Ruby,1
