id,name,lang,new stars
54346799,public-apis/public-apis,Python,756
123458551,jackfrued/Python-100-Days,Python,487
63476337,TheAlgorithms/Python,Python,1307
21289110,vinta/awesome-python,Python,691
1039520,ytdl-org/youtube-dl,Python,7171
51117837,tensorflow/models,Python,159
843222,scikit-learn/scikit-learn,Python,221
40416236,minimaxir/big-list-of-naughty-strings,Python,107
107595270,matterport/Mask_RCNN,Python,67
908607,numpy/numpy,Python,91
6662075,joke2k/faker,Python,501
178626720,PyTorchLightning/pytorch-lightning,Python,479
264818686,ultralytics/yolov5,Python,198
146619556,trekhleb/learn-python,Python,761
274594200,microsoft/Bringing-Old-Photos-Back-to-Life,Python,1474
54972769,QUANTAXIS/QUANTAXIS,Python,93
5274894,spesmilo/electrum,Python,21
131706958,jerry-git/learn-python3,Python,327
191632914,facebookresearch/hydra,Python,36
232876381,lucidrains/stylegan2-pytorch,Python,119
306383759,jiupinjia/SkyAR,Python,329
252303308,natewong1313/bird-bot,Python,26
253044228,projectdiscovery/nuclei-templates,Python,34
307948983,y1ndan/genshin-impact-helper,Python,202
296720659,Hari-Nagarajan/nvidia-bot,Python,137
