id,name,lang,new stars
199570071,2dust/v2rayN,C#,268
1327739,icsharpcode/ILSpy,C#,64
161012019,jellyfin/jellyfin,C#,90
198071756,huiyadanli/RevokeMsgPatcher,C#,199
193681686,NetchX/Netch,C#,180
46755185,bitwarden/server,C#,248
18586705,nopSolutions/nopCommerce,C#,33
45195614,Jackett/Jackett,C#,115
210716005,dotnet/runtime,C#,71
17941520,neuecc/UniRx,C#,33
165548191,carlospolop/privilege-escalation-awesome-scripts-suite,C#,129
743436,egametang/ET,C#,33
120231691,Ryujinx/Ryujinx,C#,85
94242089,xceedsoftware/wpftoolkit,C#,26
2928944,Azure/azure-sdk-for-net,C#,20
117102183,ChilliCream/hotchocolate,C#,45
100711978,btcpayserver/btcpayserver,C#,38
129934884,dotnet/command-line-api,C#,28
321682465,SteamTools-Team/SteamTools,C#,358
263503250,Azure/bicep,C#,87
262661480,ALIILAPRO/warp-plus-cloudflare,C#,13
338304086,SebLague/Chess-AI,C#,101
162993816,ntminer/NtMiner,C#,52
338504143,valheimPlus/ValheimPlus,C#,102
334288254,NotHunter101/ExtraRolesAmongUs,C#,29
