id,name,lang,new stars
2325298,torvalds/linux,C,423
1903522,php/php-src,C,47
1614410,FFmpeg/FFmpeg,C,97
246335987,ventoy/Ventoy,C,2070
1357796,emscripten-core/emscripten,C,38
102578345,coolsnowwolf/lede,C,146
47409672,hashcat/hashcat,C,51
78281075,SpacehuhnTech/esp8266_deauther,C,35
32873313,systemd/systemd,C,29
41215835,HandBrake/HandBrake,C,81
3319040,id-Software/DOOM,C,36
70127218,espressif/arduino-esp32,C,35
65899476,espressif/esp-idf,C,42
6041301,sumatrapdfreader/sumatrapdf,C,56
60667730,lvgl/lvgl,C,122
203957456,Tencent/TencentOS-tiny,C,21
241659610,OpenIntelWireless/itlwm,C,48
115765590,OAID/Tengine,C,35
146397768,ithewei/libhv,C,33
40556106,wazuh/wazuh,C,25
1613176,tianocore/edk2,C,19
287706896,Tencent/puerts,C,29
194269070,skyline-emu/skyline,C,31
226167620,JF002/InfiniTime,C,33
384646890,harold-b/bladebit,C,30
