id,name,lang,new stars
109484365,fengdu78/Coursera-ML-AndrewNg-Notes,HTML,88
179613976,PKUanonym/REKCARC-TSC-UHT,HTML,326
75867720,wesbos/JavaScript30,HTML,82
1300192,octocat/Spoon-Knife,HTML,10
61204818,github/opensource.guide,HTML,40
55082941,rigtorp/awesome-modern-cpp,HTML,196
181746158,freddier/hyperblog,HTML,40
246128823,gustavoguanabara/html-css,HTML,83
7590028,boostorg/boost,HTML,14
295774370,mdn/content,HTML,52
63882194,projectcalico/calico,HTML,16
51478266,kubernetes/website,HTML,20
230926110,qkqpttgf/OneManager-php,HTML,45
215689781,yangzongzhuan/RuoYi,HTML,26
77616278,ilyas-it83/CloudComparer,HTML,108
141455769,An0nUD4Y/blackeye,HTML,16
412776131,QianMo/Real-Time-Rendering-4th-Bibliography-Collection,HTML,112
82221724,jonbarron/website,HTML,27
158997622,faridrashidi/kaggle-solutions,HTML,59
337482312,doka-guide/content,HTML,59
413661501,bedimcode/responsive-halloween-website,HTML,289
405013901,momo0853/kkndme,HTML,252
370144455,engindemirog/javaScriptStarterKit,HTML,21
400754252,jojo2234/GreenPass-Experiments,HTML,187
335101508,nicehash/NiceHashQuickMiner,HTML,15
