id,name,lang,new stars
45717250,tensorflow/tensorflow,C++,237
44838949,apple/swift,C++,150
65600975,pytorch/pytorch,C++,180
27729880,grpc/grpc,C++,242
23405758,google/leveldb,C++,87
6934395,facebook/rocksdb,C++,68
60246359,ClickHouse/ClickHouse,C++,151
4524181,facebook/folly,C++,75
96246170,ApolloAuto/apollo,C++,77
65214191,envoyproxy/envoy,C++,51
31522041,vnpy/vnpy,C++,60
34777562,ossrs/srs,C++,92
1062572,catchorg/Catch2,C++,41
104231541,abseil/abseil-cpp,C++,46
76990209,Aircoookie/WLED,C++,96
1524684,SFML/SFML,C++,54
146459443,vesoft-inc/nebula,C++,38
283410102,sogou/workflow,C++,155
365005377,aristocratos/btop,C++,205
354743391,o3de/o3de,C++,166
52882701,prusa3d/PrusaSlicer,C++,32
81634683,Oneflow-Inc/oneflow,C++,42
150774287,danielkrupinski/Osiris,C++,22
61980658,azerothcore/azerothcore-wotlk,C++,23
385972151,Hypfer/esp8266-vindriktning-particle-sensor,C++,65
