id,name,lang,new stars
2561582,animate-css/animate.css,CSS,85
50264296,jgthms/bulma,CSS,70
27574418,ryanoasis/nerd-fonts,CSS,197
68592809,chokcoco/iCSS,CSS,67
313330998,bradtraversy/50projects50days,CSS,107
4930931,codeguy/php-the-right-way,CSS,15
49767244,primefaces/primeng,CSS,13
104967369,apachecn/sklearn-doc-zh,CSS,13
41443539,microsoft/vscode-docs,CSS,21
234033679,hehonghui/the-economist-ebooks,CSS,57
107962707,jonasschmedtmann/advanced-css-course,CSS,15
264441033,missing-semester-cn/missing-semester-cn.github.io,CSS,51
225267585,missing-semester/missing-semester,CSS,14
221892711,picocss/pico,CSS,1411
160313905,primefaces/primevue,CSS,16
299116052,john-smilga/react-projects,CSS,20
329751286,safak/youtube,CSS,67
16364647,EthicalSource/contributor_covenant,CSS,11
282550237,kepano/obsidian-minimal,CSS,32
322213362,ultrasecurity/Storm-Breaker,CSS,13
250045954,WebCifar/one-page-website-html-css-project-for-practice,CSS,4
373802083,PwnFunction/Blank-Rick-Roll,CSS,11
411712762,Sirneij/carrotsuite-admin-ui,CSS,12
334790783,CyberAgentHack/web-speed-hackathon-2021,CSS,13
283388370,titaniumnetwork-dev/alloy,CSS,3
