id,name,lang,new stars
60243197,nextcloud/server,PHP,90
2253830,PHPMailer/PHPMailer,PHP,35
82238168,monicahq/monica,PHP,306
47495360,koel/koel,PHP,45
1305114,roots/sage,PHP,16
42480275,spatie/laravel-permission,PHP,19
41589337,BookStackApp/BookStack,PHP,114
21298446,firefly-iii/firefly-iii,PHP,58
2717549,Sylius/Sylius,PHP,17
14716368,invoiceninja/invoiceninja,PHP,11
9791525,digininja/DVWA,PHP,25
16685462,humhub/humhub,PHP,87
76064827,mailcow/mailcow-dockerized,PHP,45
12204147,mautic/mautic,PHP,16
119047018,linuxserver/Heimdall,PHP,32
885517,doctrine-extensions/DoctrineExtensions,PHP,8
129829848,pixelfed/pixelfed,PHP,47
47508644,pterodactyl/panel,PHP,75
73781385,orchidsoftware/platform,PHP,27
57961433,openmediavault/openmediavault,PHP,24
39182755,glpi-project/glpi,PHP,16
57463067,AzuraCast/AzuraCast,PHP,102
216849756,v2board/v2board,PHP,27
433383766,nextcloud/all-in-one,PHP,75
424534024,peter-tharwat/dashboard,PHP,24
