id,name,lang,new stars
28457823,freeCodeCamp/freeCodeCamp,TypeScript,692
14098069,justjavac/free-programming-books-zh_CN,,671
184456251,microsoft/PowerToys,C#,531
311525798,microsoft/Web-Dev-For-Beginners,JavaScript,2735
16752620,gogs/gogs,Go,895
196701619,tauri-apps/tauri,Rust,2842
168008797,microsoft/calculator,C++,369
275993885,appsmithorg/appsmith,TypeScript,773
299354207,rustdesk/rustdesk,Rust,646
116392709,digitalocean/nginxconfig.io,JavaScript,491
92111509,zadam/trilium,JavaScript,175
120710644,Vonng/ddia,Python,618
52728517,programthink/zhao,Python,340
461710233,pyscript/pyscript,HTML,4027
345368765,NvChad/NvChad,Lua,616
386524895,mvt-project/mvt,Python,390
237867883,metersphere/metersphere,Java,238
143822069,sunface/rust-course,Rust,494
482520194,Grasscutters/Grasscutter,Java,1757
53538899,bitwarden/clients,TypeScript,60
488004650,facebookresearch/metaseq,Python,1467
462682958,SebLague/Geographical-Adventures,C#,654
460314453,Tencent/tmagic-editor,TypeScript,980
319466912,Dimbreath/GenshinData,,164
482560316,ahutsunshine/dingdong-grabber,Go,36
