id,name,lang,new stars
126577260,trekhleb/javascript-algorithms,JavaScript,695
6498492,airbnb/javascript,JavaScript,243
112507086,30-seconds/30-seconds-of-code,JavaScript,698
36633370,awesome-selfhosted/awesome-selfhosted,JavaScript,1398
70107786,vercel/next.js,JavaScript,399
23083156,mui/material-ui,JavaScript,234
62607227,yangshun/tech-interview-handbook,JavaScript,1139
1861458,hakimel/reveal.js,JavaScript,373
311525798,microsoft/Web-Dev-For-Beginners,JavaScript,1061
63539055,jaywcjlove/awesome-mac,JavaScript,518
147350463,leonardomso/33-js-concepts,JavaScript,209
1424470,moment/moment,JavaScript,105
71995937,nuxt/nuxt.js,JavaScript,132
162279822,agalwood/Motrix,JavaScript,137
170326929,goabstract/Awesome-Design-Tools,JavaScript,530
202367615,lyswhut/lx-music-desktop,JavaScript,219
39315600,be5invis/Iosevka,JavaScript,89
137389229,jonasschmedtmann/complete-javascript-course,JavaScript,86
304344049,sveltejs/kit,JavaScript,129
368390355,vaxilu/x-ui,JavaScript,83
21331090,4ian/GDevelop,JavaScript,79
270530850,orkestral/venom,JavaScript,22
492526669,htmlstreamofficial/preline,JavaScript,92
508749336,getify/youperiod.app,JavaScript,112
483707346,lyfe00011/whatsapp-bot-md,JavaScript,17
