id,name,lang,new stars
41881900,microsoft/vscode,TypeScript,417
20929025,microsoft/TypeScript,TypeScript,339
34526884,ant-design/ant-design,TypeScript,125
54173593,storybookjs/storybook,TypeScript,201
172953845,coder/code-server,TypeScript,143
221981891,microsoft/playwright,TypeScript,332
214587193,supabase/supabase,TypeScript,385
77213120,Eugeny/tabby,TypeScript,704
67962648,vuetifyjs/vuetify,TypeScript,70
137078487,vuejs/core,TypeScript,155
202890778,chakra-ui/chakra-ui,TypeScript,175
137724480,hasura/graphql-engine,TypeScript,170
275993885,appsmithorg/appsmith,TypeScript,556
7122594,directus/directus,TypeScript,102
381979,fullcalendar/fullcalendar,TypeScript,33
372240402,alan2207/bulletproof-react,TypeScript,252
227978903,vueuse/vueuse,TypeScript,98
400215964,novuhq/novu,TypeScript,802
98339432,shoelace-style/shoelace,TypeScript,87
291438522,siyuan-note/siyuan,TypeScript,159
544975441,cisagov/RedEye,TypeScript,1005
546466467,koishijs/novelai-bot,TypeScript,267
338201909,foxglove/studio,TypeScript,25
518195179,metlo-labs/metlo,TypeScript,179
523625351,Alkia/electra,TypeScript,153
