id,name,lang,new stars
133442384,denoland/deno,Rust,186
196701619,tauri-apps/tauri,Rust,352
130688011,meilisearch/meilisearch,Rust,194
21938243,rust-unofficial/awesome-rust,Rust,196
114466145,yewstack/yew,Rust,132
121898717,dani-garcia/vaultwarden,Rust,202
107505869,firecracker-microvm/firecracker,Rust,107
263727855,pola-rs/polars,Rust,146
109872620,paritytech/substrate,Rust,37
27029984,Geal/nom,Rust,51
144140342,paritytech/polkadot,Rust,43
268163609,qdrant/qdrant,Rust,162
551376520,tw93/Pake,Rust,497
519882617,gbj/leptos,Rust,1408
290243101,Orange-OpenSource/hurl,Rust,318
202485012,webrtc-rs/webrtc,Rust,44
240971104,AleoHQ/snarkOS,Rust,241
519895363,GyulyVGC/sniffnet,Rust,340
500391407,buckyos/CYFS,Rust,119
294858647,signalapp/libsignal,Rust,43
295245253,geph-official/geph4-client,Rust,87
258933250,delta-io/delta-rs,Rust,24
468035313,MirrorX-Desktop/MirrorX,Rust,95
567004198,linebender/xilem,Rust,173
449305594,HarukaMa/aleo-prover,Rust,27
